parameter,value,category,evidence_basis,data_used,decision_date,outcome_access,frozen_version,owner,status,notes
ROP_semantic_core_status,PRINCIPALLY_FROZEN,A,Principal-researcher semantic freeze record,None,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Protocol owner,FIXED_DRAFT,Pending dependency is measurement alignment and archive-specific lineage completion
primary_alignment_basis,NATIVE_CO_SAMPLED_SHARED_MD_RECORD,A,Eliminates fuzzy cross-stream alignment and result-dependent tolerance selection,None,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Semantic owner,FIXED_DRAFT,Cross-file nearest-neighbor and time joins prohibited
state_boundary_buffer_m,0.0,A,Do not expand explicit state exclusions into neighboring observations,None,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Semantic owner,FIXED_DRAFT,
t_interval_confidence_level,0.95,A,Conventional two-sided uncertainty level selected independent of outcomes,None,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Statistics owner,FIXED_DRAFT,
field_bootstrap_repetitions,10000,C,Monte Carlo precision target fixed before outcome access,Synthetic dry run pending,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Statistics owner,FIXED_DRAFT,
field_bootstrap_seed,20260725,C,Deterministic execution,None,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Statistics owner,FIXED_DRAFT,
basin_stratified_bootstrap_repetitions,10000,C,Matches field-bootstrap Monte Carlo precision and is fixed before outcome access,Synthetic only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Statistics owner,FIXED_DRAFT,
basin_stratified_bootstrap_seed,20260726,C,Deterministic execution using a seed distinct from the ordinary field bootstrap,None,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Statistics owner,FIXED_DRAFT,
wild_cluster_method,"intercept-only Rademacher wild cluster bootstrap-t by basin; 9999 repetitions; seed 20260727",C,Prespecified small-cluster sensitivity that cannot replace headline uncertainty,Synthetic only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Statistics owner,FIXED_DRAFT,
hierarchical_model,"Gaussian field-gain model with fixed intercept and basin random intercept; internal NumPy/SciPy REML",C,Self-contained transparent supplementary heterogeneity sensitivity with failure retained,Synthetic only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Statistics owner,FIXED_DRAFT,"Replaced unavailable statsmodels dependency before outcome unlock; scientific specification unchanged"
uncertainty_plan_test_manifest_sha256,5AD5EADC60495B3C6C7A36B712A43E6A3AF5FF9C69AF933B75B5FF76AFA25DAA,C,Content identity of the successful all-branch synthetic uncertainty test,Synthetic field effects only,2026-07-26,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Statistics owner,VERIFIED,
python_version,3.14.6,C,Matches recorded production environment and current source-audit runtime,Execution environment,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,64-bit MSC v.1944
operating_system_or_container,Windows 11 10.0.22631 SP0,C,Matches recorded production environment,Execution environment,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,Container remains optional before v1.0
package_lock_path,../../content/0718_机械钻速跨井泛化复现包_v3/environment_lock.txt|requirements.txt,C,Existing production environment record and dependency specification,Execution environment,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,environment_lock SHA256 ef41422ba934cd310c485d66b95566a669416617681960175ecccb76c69a07de
parser_commit,TO_BE_FROZEN,C,Code identity,Repository only,TO_BE_FROZEN,NO_LAYER_D_OUTCOME_ACCESS,TO_BE_FROZEN,Execution owner,PENDING,
analysis_code_commit,TO_BE_FROZEN,C,Code identity,Repository only,TO_BE_FROZEN,NO_LAYER_D_OUTCOME_ACCESS,TO_BE_FROZEN,Execution owner,PENDING,
stable_sorting_algorithm,pandas_mergesort,C,Stable deterministic duplicate and segment ordering,Source-only audit and synthetic dry run pending,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,
numeric_precision,float64_scoring__float32_model_matrix,C,Matches established modelling implementation while retaining scoring precision,Existing v3 reproduction package and source audit,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,
single_execution_command,TO_BE_FROZEN,C,Single frozen execution requirement,Synthetic dry run,TO_BE_FROZEN,NO_LAYER_D_OUTCOME_ACCESS,TO_BE_FROZEN,Execution owner,PENDING,
